sampleid	LibraryName	SampleName	Subject_ID
SRR13191577	DNAfreewater3	DNAfreewater3_666	Control
SRR13191566	DNAfreewater4	DNAfreewater4_631	Control
SRR13191558	Extractblankswab3	Extractblankswab3_630	Control
SRR13191647	Extractblankswab8	Extractblankswab8_633	Control
SRR13191636	Extractblankswab9	Extractblankswab9_47	Control
SRR13191624	Extractemptywell9	Extractemptywell9_469	Control
SRR13191580	S.170804.00680	S.170804.00680_265	CDM_19
SRR13191579	S.170804.00682	S.170804.00682_301	CDM_20
SRR13191578	S.170804.00684	S.170804.00684_558	CDM_21
SRR13191576	S.170804.00686	S.170804.00686_142	CDM_22
SRR13191575	S.170804.00688	S.170804.00688_578	CDM_23
SRR13191574	S.170804.00689	S.170804.00689_51	CDM_24
SRR13191573	S.170804.00695	S.170804.00695_270	CDM_27
SRR13191572	S.170804.00697	S.170804.00697_320	CDM_28
SRR13191571	S.170804.00698	S.170804.00698_428	CDM_29
SRR13191570	S.170804.00700	S.170804.00700_573	CDM_30
SRR13191569	S.170804.00702	S.170804.00702_507	CDM_31
SRR13191568	S.170804.00704	S.170804.00704_89	CDM_32
SRR13191567	S.170804.00706	S.170804.00706_319	CDM_33
SRR13191565	S.170804.00708	S.170804.00708_29	CDM_34
SRR13191564	S.170804.00709	S.170804.00709_192	CDM_35
SRR13191563	S.170804.00711	S.170804.00711_199	CDM_36
SRR13191562	S.170804.00713	S.170804.00713_359	CDM_37
SRR13191561	S.170804.00715	S.170804.00715_312	CDM_38
SRR13191560	S.170804.00716	S.170804.00716_452	CDM_39
SRR13191559	S.170808.00115	S.170808.00115_32	CDM_161
SRR13191557	S.170808.00117	S.170808.00117_472	CDM_162
SRR13191556	S.170808.00119	S.170808.00119_585	CDM_111
SRR13191555	S.170808.00121	S.170808.00121_231	CDM_163
SRR13191554	S.170808.00123	S.170808.00123_186	CDM_164
SRR13191553	S.170808.00125	S.170808.00125_223	CDM_165
SRR13191552	S.170808.00127	S.170808.00127_550	CDM_166
SRR13191551	S.170808.00129	S.170808.00129_281	CDM_167
SRR13191550	S.170808.00130	S.170808.00130_127	CDM_168
SRR13191549	S.170808.00131	S.170808.00131_435	CDM_169
SRR13191548	S.170808.00133	S.170808.00133_243	CDM_170
SRR13191646	S.170808.00216	S.170808.00216_531	CDM_209
SRR13191645	S.170808.00218	S.170808.00218_418	CDM_78
SRR13191644	S.170808.00221	S.170808.00221_640	CDM_211
SRR13191643	S.170808.00222	S.170808.00222_486	CDM_73
SRR13191642	S.170808.00224	S.170808.00224_557	CDM_212
SRR13191641	S.170808.00226	S.170808.00226_386	CDM_213
SRR13191640	S.170808.00228	S.170808.00228_641	CDM_214
SRR13191639	S.170808.00229	S.170808.00229_310	CDM_215
SRR13191638	S.170808.00231	S.170808.00231_528	CDM_216
SRR13191637	S.170808.00233	S.170808.00233_106	CDM_217
SRR13191635	S.170808.00235	S.170808.00235_132	CDM_218
SRR13191634	S.170808.00237	S.170808.00237_518	CDM_219
SRR13191633	S.170808.00239	S.170808.00239_496	CDM_220
SRR13191632	S.170808.00240	S.170808.00240_519	CDM_195
SRR13191631	S.170808.00586	S.170808.00586_250	CDM_350
SRR13191630	S.170808.00587	S.170808.00587_385	CDM_351
SRR13191629	S.170808.00589	S.170808.00589_358	CDM_352
SRR13191628	S.170808.00591	S.170808.00591_314	CDM_353
SRR13191627	S.170808.00593	S.170808.00593_139	CDM_354
SRR13191626	S.170808.00595	S.170808.00595_595	CDM_355
SRR13191625	S.170808.00597	S.170808.00597_252	CDM_356
SRR13191623	S.170808.00599	S.170808.00599_399	CDM_357
SRR13191622	S.170808.00601	S.170808.00601_293	CDM_358
SRR13191621	S.170808.00603	S.170808.00603_593	CDM_359
SRR13191620	S.170808.00605	S.170808.00605_391	CDM_360
SRR13191619	S.170808.00607	S.170808.00607_134	CDM_361
SRR13191618	S.170808.00609	S.170808.00609_291	CDM_362
SRR13191617	S.170808.00611	S.170808.00611_502	CDM_363
SRR13191616	S.170808.00612	S.170808.00612_60	CDM_364
SRR13191615	S.170808.00614	S.170808.00614_104	CDM_365
SRR13191614	S.170808.00616	S.170808.00616_254	CDM_366
SRR13191612	S.170808.00618	S.170808.00618_343	CDM_367
SRR13191611	S.170808.00619	S.170808.00619_253	CDM_8
SRR13191610	S.170808.00621	S.170808.00621_580	CDM_368
SRR13191609	S.170808.00623	S.170808.00623_647	CDM_369
SRR13191608	S.170808.00625	S.170808.00625_332	CDM_370
SRR13191607	S.170808.00663	S.170808.00663_484	CDM_262
SRR13191606	S.170808.00665	S.170808.00665_434	CDM_393
SRR13191605	S.170808.00667	S.170808.00667_398	CDM_394
SRR13191603	S.170808.00669	S.170808.00669_600	CDM_395
SRR13191602	S.170808.00670	S.170808.00670_388	CDM_396
SRR13191601	S.170808.00672	S.170808.00672_150	CDM_397
SRR13191600	S.170808.00674	S.170808.00674_288	CDM_398
SRR13191599	S.170808.00676	S.170808.00676_97	CDM_399
SRR13191598	S.170808.00677	S.170808.00677_38	CDM_400
SRR13191597	S.170808.00687	S.170808.00687_383	CDM_401
SRR13191596	S.170808.00695	S.170808.00695_462	CDM_403
SRR13191595	S.170808.00697	S.170808.00697_468	CDM_404
SRR13191594	S.170808.00699	S.170808.00699_200	CDM_405
SRR13191592	S.170808.00701	S.170808.00701_114	CDM_406
SRR13191591	S.170808.00703	S.170808.00703_202	CDM_407
SRR13191590	S.170808.00707	S.170808.00707_588	CDM_409
SRR13191589	S.170808.00709	S.170808.00709_79	CDM_410
SRR13191588	S.170808.00711	S.170808.00711_90	CDM_411
SRR13191587	S.170808.00712	S.170808.00712_490	CDM_412
SRR13191586	S.170808.00714	S.170808.00714_151	CDM_413
SRR13191585	S.170808.00716	S.170808.00716_324	CDM_414
SRR13191584	S.170808.00718	S.170808.00718_123	CDM_415
